,Profit
299,-111.618
300,0.0
301,3.5767
302,11.733
303,-17.595
304,46.5
305,13.41
306,26.73
307,-48.9549
308,-12.948
309,-12.024
310,0.0
311,199.116
312,-9.99
313,-31.158
314,-5.184
315,1.3622
316,13.572
317,87.264
318,1.168
319,51.15
320,5.7
321,47.7
322,-48.5082
323,14.64
324,3.2616
325,8.67
326,-182.637
327,159.9
328,24.36
329,0.96
330,0.7746
331,8.4
332,-59.373
333,10.2
334,-6.192
335,25.74
336,-197.34
337,6.3
338,0.0
339,17.16
340,101.394
341,15.0
342,18.36
343,-81.45
344,17.1574
345,87.03
346,13.572
347,22.5732
348,65.67
349,11.3
350,11.88
351,58.26
352,60.66
353,-8.5794
354,36.9305
355,24.3
356,1.9629
357,1.8
358,182.355
359,8.3916
360,0.0
361,18.72
362,-4.89
363,134.652
364,87.84
365,10.2
366,-78.72
367,13.4865
368,1.12
369,23.04
370,-12.672
371,35.6776
372,23.7
373,-41.838
374,-1.362
375,31.977
376,12.3
377,-2.388
378,-23.544
379,15.9446
380,46.83
381,31.32
382,94.56
383,81.702
384,20.235
385,19.99
386,-22.524
387,-129.726
388,-1.644
389,230.1
390,2.55
391,38.52
392,27.64
393,-40.401
394,91.56
395,6.12
396,37.68
397,2.8776
398,-82.99
399,208.8
400,32.3982
401,21.6
402,74.25
403,4.53
404,2.04
405,5.19
406,70.5
407,2.1
408,3.12
409,73.02
410,27.48
411,66.15
412,251.891
413,82.83
414,-18.5562
415,3.3
416,5.43
417,-6.03
418,18.64
419,0.51
420,-18.4875
421,99.28
422,79.92
423,13.2
424,38.78
425,1.32
426,-2.73
427,6.36
428,-5.72
429,8.0548
430,9.72
431,246.84
432,28.497
433,-17.2725
434,0.8736
435,-9.9
436,30.5
437,-7.95
438,12.84
439,273.48
440,3.64
441,-56.0592
442,304.56
443,61.02
444,-19.1058
445,4.44
446,46.416
447,70.92
448,4.76
449,7.9128
450,123.769
451,0.0
452,-13.938
453,262.88
454,3.912
455,37.8
456,197.352
457,-10.473
458,-83.691
459,-80.82
460,74.1424
461,-3.1032
462,6.12
463,173.46
464,-8.1654
465,24.42
466,12.08
467,-29.472
468,3.66
469,208.32
470,89.94
471,-19.28
472,11.952
473,-32.472
474,-2.0264
475,7.368
476,-11.52
477,20.9274
478,6.21
479,7.1022
480,35.6796
481,0.84
482,11.206
483,-1.476
484,44.7
485,-4.28
486,-26.595
487,15.84
488,-8.724
489,-33.3
490,104.46
491,-25.049
492,114.995
493,-10.5
494,148.5
495,-14.3595
496,7.88
497,13.3476
498,2.64
499,3.09
500,-4.128
501,9.0
502,6.54
503,-30.528
504,3.3
505,84.6
506,91.032
507,11.616
508,16.44
509,2.28
510,3.4544
511,81.0
512,-26.76
513,1.65
514,-4.464
515,-2.292
516,0.0
517,1.35
518,46.998
519,32.44
520,-71.0
521,3.6288
522,-98.406
523,67.869
524,301.812
525,-109.344
526,136.238
527,2.0979
528,3.96
529,83.4
530,5.58
531,-0.036
532,1.1022
533,14.64
534,-5.9
535,35.85
536,-0.78
537,-118.2
538,22.8
539,-7.332
540,4.05
541,2.94
542,7.29
543,-278.395
544,385.38
545,9.0
546,79.8795
547,22.72
548,99.84
549,95.0968
550,23.28
551,6.78
552,5.22
553,6.0
554,35.1
555,-223.08
556,84.6
557,2.22
558,15.552
559,-81.072
560,925.44
561,25.776
562,809.28
563,785.52
564,5.88
565,29.88
566,170.58
567,1.98
568,35.1
569,151.47
570,102.0
571,-14.4078
572,1989.54
573,50.01
574,20.1584
575,41.4276
576,3.72
577,29.16
578,-13.3236
579,-12.896
580,4.1988
581,8.28
582,3.475
583,669.76
584,4.9497
585,8.58
586,-11.1375
587,-1.096
588,14.76
589,2.16
590,184.95
591,108.6
592,130.2
593,8.9544
594,55.745
595,27.84
596,248.036
597,-2.868
598,-11.632
599,-2.97
600,114.938
601,2.97
602,-17.955
603,-12.408
604,83.748
605,302.373
606,-8.312
607,-18.186
608,0.84
609,108.468
610,45.294
611,8.7168
612,-295.362
613,55.17
614,-3.324
615,-3.792
616,7.2
617,16.32
618,-147.523
619,7.44
620,83.853
621,4.5588
622,70.533
623,2.64
624,57.5928
625,-31.068
626,12.12
627,9.488
628,76.14
629,-13.872
630,-2.5014
631,-6.8346
632,-29.92
633,51.8312
634,163.19
635,39.6
636,0.48
637,8.19
638,4.1391
639,6.2208
640,-34.08
641,17.64
642,-57.24
643,0.0
644,62.72
645,6.4944
646,1.8
647,1.38
648,7.2576
649,6.06
650,176.803
651,16.44
652,11.58
653,278.56
654,223.344
655,146.769
656,-1.976
657,-16.5
658,-14.472
659,9.654
660,7.2576
661,64.53
662,-0.5598
663,14.52
664,39.6
665,5.7
666,-6.264
667,39.12
668,284.06
669,261.18
670,19.8
671,129.96
672,2.43
673,1.44
674,125.265
675,5.4432
676,-30.336
677,-1.8417
678,-101.424
679,-35.652
680,0.84
681,161.19
682,-147.865
683,43.68
684,48.58
685,-115.354
686,3.597
687,8.76
688,71.421
689,-1.08
690,-11.61
691,-4.5
692,-6.696
693,8.7
694,3.42
695,-2.196
696,0.9856
697,63.09
698,26.01
699,2.7
700,-27.6
701,121.442
702,22.4316
703,85.2
704,-44.34
705,249.84
706,5.1042
707,8.28
708,-26.196
709,231.6
710,6.09
711,80.6312
712,12.7368
713,15.3
714,101.64
715,7.263
716,13.2288
717,30.9
718,67.92
719,1.068
720,11.04
721,18.18
722,110.421
723,45.42
724,132.59
725,57.3
726,1.6752
727,8.64
728,5.64
729,756.0
730,295.74
731,303.341
732,3.069
733,185.4
734,10.98
735,-347.112
736,238.05
737,18.3645
738,7.2576
739,-7.92
740,245.406
741,269.308
742,25.5968
743,25.02
744,41.04
745,-68.28
746,236.25
747,-114.588
748,21.06
749,17.28
750,300.78
751,-21.6
752,36.1836
753,-1.9872
754,18.36
755,12.978
756,29.7
757,-25.74
758,35.28
759,-9.84
760,-37.168
761,2.58
762,-10.41
763,0.99
764,6.2016
765,19.9746
766,19.74
767,4.2
768,6.104
769,11.484
770,-89.2
771,20.52
772,123.768
773,3.6288
774,22.5624
775,10.0624
776,68.46
777,0.318
778,19.092
779,-8.52
780,16.65
781,-376.8
782,2.97
783,0.36
784,5.7624
785,200.64
786,2.6964
787,11.67
788,1.112
789,7.65
790,2.97
791,15.66
792,5.1294
793,4.812
794,-44.1462
795,8.856
796,-28.6272
797,40.68
798,340.2
799,8.04
800,9.28
801,-165.368
802,50.04
803,39.52
804,6.21
805,-5.712
806,27.75
807,15.78
808,0.3336
809,40.137
810,-1.4016
811,45.4671
812,3.3534
813,4.32
814,-3.231
815,-45.423
816,4.5188
817,51.75
818,376.92
819,36.66
820,7.9086
821,267.2
822,12.7008
823,3.828
824,41.79
825,9.6072
826,5.5616
827,0.0
828,2.37
829,-113.07
830,105.15
831,10.52
832,18.6
833,-11.064
834,39.33
835,-0.024
836,6.8724
837,-190.852
838,12.42
839,18.24
840,6.6584
841,4.65
842,-44.046
843,58.671
844,-25.62
845,10.804
846,570.9
847,-126.408
848,356.004
849,165.599
850,258.6
851,3.984
852,7.6
853,8.82
854,25.95
855,471.6
856,18.42
857,9.78
858,7.68
859,26.56
860,79.88
861,3.06
862,5.79
863,39.4
864,37.56
865,0.0
866,14.52
867,1.395
868,158.355
869,4.92
870,-12.8961
871,2.226
872,-19.08
873,0.24
874,5.44
875,36.0
876,10.092
877,-19.752
878,129.42
879,33.96
880,-49.0932
881,364.46
882,103.818
883,-35.3913
884,30.66
885,-165.48
886,6.6
887,43.76
888,17.76
889,-0.702
890,-138.936
891,24.0
892,-38.688
893,64.701
894,0.84
895,21.78
896,1.04
897,-88.977
898,56.7
899,3.06
900,17.55
901,56.52
902,-11.284
903,0.444
904,10.62
905,6.78
906,36.18
907,1.59
908,-2.2896
909,31.05
910,-14.976
911,7.38
912,-3.136
913,-197.64
914,287.982
915,2.7
916,34.2
917,22.0158
918,2.99
919,50.4711
920,301.14
921,49.5
922,-2.94
923,6.0
924,17.34
925,-35.238
926,17.634
927,-22.74
928,5.64
929,-9.99
930,-18.4518
931,-24.6258
932,1.8
933,239.58
934,1.338
935,20.76
936,58.59
937,11.76
938,709.937
939,2.97
940,2.19
941,-50.098
942,1042.32
943,46.2
944,13.824
945,15.69
946,83.268
947,5.55
948,3.24
949,-98.976
950,-12.705
951,9.2176
952,-47.46
953,-2.448
954,10.614
955,0.52
956,1.28
957,-335.444
958,37.26
959,127.05
960,139.0
961,49.62
962,189.39
963,7.41
964,24.78
965,134.861
966,31.8
967,12.792
968,48.45
969,-4.095
970,7.6
971,12.4416
972,-205.188
973,85.08
974,30.66
975,523.08
976,138.72
977,20.392
978,3.6894
979,31.6915
980,28.44
981,24.12
982,-95.424
983,38.58
984,51.42
985,1.1946
986,48.69
987,0.0
988,20.0851
989,2.448
990,30.848
991,68.607
992,-14.1639
993,326.448
994,-2.445
995,61.44
996,21.52
997,146.212
998,-9.612
999,35.76
1000,18.6624
1001,157.87
1002,16.8
1003,6.688
1004,-5.886
1005,63.4368
1006,-530.333
1007,79.2
1008,8.262
1009,-8.142
1010,92.3692
1011,4.32
1012,-30.3915
1013,-13.5598
1014,-146.112
1015,-619.596
1016,2.304
1017,25.3
1018,33.57
1019,560.788
1020,1.672
1021,-42.15
1022,3.51
1023,-91.92
1024,0.09
1025,5.5341
1026,17.27
1027,133.36
1028,4.32
1029,0.57
1030,-5.89
1031,68.28
1032,0.0
1033,-3.336
1034,32.787
1035,46.225
1036,-4.14
1037,15.48
1038,19.08
1039,49.216
1040,3.474
1041,-52.416
1042,-27.2709
1043,-0.45
1044,-33.075
1045,158.55
1046,237.86
1047,70.218
1048,-296.136
1049,2.4
1050,17.108
1051,206.688
1052,-36.816
1053,124.902
1054,-19.956
1055,61.29
1056,62.01
1057,8.58
1058,0.24
1059,5.94
1060,-28.59
1061,-16.224
1062,9.3184
1063,9.99
1064,1.92
1065,1.71
1066,2.5056
1067,18.48
1068,-12.648
1069,38.38
1070,5.7072
1071,33.39
1072,6.58
1073,302.063
1074,218.2
1075,-15.1976
1076,-23.388
1077,96.3438
1078,2.0064
1079,43.86
1080,-14.4
1081,4.9104
1082,12.24
1083,28.38
1084,-34.272
1085,32.58
1086,1.32
1087,-16.776
1088,2.43
1089,70.32
1090,1.48
1091,-0.09
1092,7.84
1093,50.4063
1094,2.86
1095,0.72
1096,4.833
1097,6.0
1098,176.4
1099,-1.424
1100,6.32
1101,-19.47
1102,3.42
1103,230.31
1104,5.52
1105,8.992
1106,0.0
1107,19.32
1108,5.6994
1109,79.08
1110,5.13
1111,29.58
1112,9.72
1113,-74.793
1114,105.21
1115,13.8
1116,28.8396
1117,43.44
1118,6.84
1119,6.06
1120,9.36
1121,119.52
1122,51.6558
1123,34.182
1124,13.02
1125,20.232
1126,-24.156
1127,4.3902
1128,-9.552
1129,41.354
1130,7.7
1131,-18.8728
1132,14.5638
1133,68.76
1134,11.673
1135,5.9185
1136,32.3351
1137,13.2
1138,6.81
1139,7.98
1140,-35.1225
1141,-218.568
1142,65.28
1143,-314.94
1144,7.68
1145,20.8494
1146,88.1804
1147,70.56
1148,6.5538
1149,8.272
1150,-175.938
1151,1072.44
1152,8.43
1153,-322.452
1154,27.9456
1155,23.76
1156,1.26
1157,3.99
1158,0.66
1159,28.0784
1160,14.5728
1161,6.84
1162,62.16
1163,-23.352
1164,-1475.35
1165,22.6275
1166,0.1008
1167,16.7412
1168,37.44
1169,114.54
1170,566.553
1171,75.84
1172,1.95
1173,2.61
1174,5.1294
1175,95.76
1176,19.9872
1177,768.88
1178,4.752
1179,19.1376
1180,-149.562
1181,99.9012
1182,27.3
1183,16.2
1184,113.85
1185,148.68
1186,23.96
1187,32.55
1188,44.73
1189,2.43
1190,23.7
1191,50.9208
1192,-2.928
1193,-15.144
1194,142.2
1195,33.552
1196,2.73
1197,-5.056
1198,19.56
1199,5.838
1200,282.0
1201,67.6599
1202,-297.864
1203,10.2
1204,-31.182
1205,54.2808
1206,5.376
1207,-51.3972
1208,20.48
1209,25.38
1210,-0.796
1211,0.18
1212,2.52
1213,24.33
1214,-0.99
1215,-150.414
1216,-21.36
1217,37.476
1218,89.1
1219,-8.424
1220,43.26
1221,116.243
1222,177.66
1223,3.36
1224,-18.33
1225,7.65
1226,71.46
1227,-28.62
1228,1.34
1229,7.5762
1230,41.986
1231,13.86
1232,-8.5794
1233,291.6
1234,61.5
1235,6.06
1236,30.28
1237,29.95
1238,-7.14
1239,-6.822
1240,12.96
1241,-1736.28
1242,-4.2336
1243,-1.4994
1244,14.7184
1245,2.7
1246,-68.76
1247,320.04
1248,2.5164
1249,28.6965
1250,2.0492
1251,224.85
1252,5.82
1253,-495.63
1254,-343.455
1255,62.988
1256,42.9288
1257,-10.2912
1258,-9.936
1259,1.44
1260,12.4404
1261,113.434
1262,24.03
1263,232.001
1264,17.28
1265,14.58
1266,-11.322
1267,28.7964
1268,4.38
1269,-3.156
1270,-44.298
1271,145.589
1272,-88.08
1273,5.6994
1274,18.18
1275,58.86
1276,-162.04
1277,110.91
1278,16.92
1279,75.6952
1280,282.18
1281,15.824
1282,15.68
1283,-11.124
1284,0.0
1285,4.23
1286,84.42
1287,-2.4
1288,39.4268
1289,15.03
1290,8.4
1291,11.31
1292,7.9728
1293,0.6696
1294,-15.84
1295,180.45
1296,-17.1
1297,0.504
1298,-68.328
1299,236.232
1300,21.7532
1301,2.24
1302,0.954
1303,0.75
1304,120.0
1305,17.001
1306,73.788
1307,40.26
1308,16.47
1309,30.1968
1310,17.7
1311,5.8
1312,12.6
1313,4.4604
1314,-4.356
1315,44.8896
1316,22.869
1317,-10.2618
1318,33.96
1319,-1.35
1320,-60.768
1321,14.84
1322,-9.894
1323,60.6
1324,36.4
1325,3.09
1326,3.078
1327,1.8704
1328,20.22
1329,4.41
1330,4.47
1331,9.18
1332,-4.84
1333,1.752
1334,9.3564
1335,5.4
1336,2.37
1337,71.12
1338,-15.9984
1339,205.862
1340,-3.8205
1341,8.64
1342,20.92
1343,0.54
1344,8.82
1345,1.14
1346,332.88
1347,-47.88
1348,-9.69
1349,4.83
1350,6.48
1351,-23.6115
1352,6.54
1353,3.2256
1354,-1141.47
1355,191.31
1356,62.97
1357,12.78
1358,9.688
1359,6.21
1360,17.94
1361,1.5008
1362,97.6524
1363,18.9
1364,2.01
1365,10.32
1366,-13.524
1367,4.38
1368,5.94
1369,2.4
1370,15.4752
1371,6.0084
1372,-240.42
1373,-8.396
1374,-34.9176
1375,-0.03
1376,47.3
1377,17.82
1378,569.99
1379,41.5104
1380,10.08
1381,0.804
1382,9.18
1383,57.3
1384,26.6616
1385,70.32
1386,9.06
1387,126.114
1388,46.5
1389,27.72
1390,51.75
1391,36.036
1392,73.98
1393,-2.0367
1394,-110.49
1395,20.1
1396,0.0
1397,9.1
1398,5.22
1399,21.78
1400,15.0
1401,128.31
1402,4.05
1403,270.48
1404,6.2566
1405,-1.215
1406,14.64
1407,38.61
1408,-29.2776
1409,7.8225
1410,19.56
1411,14.4648
1412,-9.084
1413,1.26
1414,-1.8392
1415,106.32
1416,11.925
1417,11.5326
1418,37.95
1419,-177.66
1420,36.96
1421,165.42
1422,253.795
1423,12.72
1424,5.7
1425,1.375
1426,35.1
1427,54.18
1428,10.41
1429,0.99
1430,206.316
1431,-14.043
1432,16.56
1433,6.84
1434,-12.195
1435,2.5056
1436,-21.52
1437,15.48
1438,-113.748
1439,108.36
1440,102.6
1441,187.92
1442,59.76
1443,86.3856
1444,5.4288
1445,1.38
1446,25.4
1447,-15.6156
1448,-3.534
1449,-36.72
1450,196.613
1451,5.64
1452,8.88
1453,-3.465
1454,7.8
1455,60.3675
1456,-2.46
1457,15.24
1458,170.52
1459,-50.379
1460,16.38
1461,23.82
1462,20.7459
1463,-26.055
1464,17.28
1465,238.04
1466,41.805
1467,26.84
1468,3.82
1469,-1.536
1470,6.1
1471,19.2
1472,18.46
1473,31.944
1474,37.4144
1475,6.2208
1476,15.12
1477,8.88
1478,25.2
1479,54.215
1480,22.14
1481,77.748
1482,28.16
1483,124.0
1484,-31.491
1485,9.9652
1486,8.34
1487,2.7
1488,28.5
1489,-24.24
1490,225.18
1491,-271.5
1492,-18.0
1493,-36.2352
1494,4.224
1495,406.56
1496,-6.945
1497,67.6
1498,-67.83
1499,51.48
1500,0.24
1501,0.0
1502,-160.506
1503,22.152
1504,7.04
1505,17.84
1506,73.6
1507,15.54
1508,2.9682
1509,-43.695
1510,0.84
1511,-6.78
1512,40.44
1513,2.46
1514,88.3932
1515,14.148
1516,122.58
1517,-104.712
1518,7.56
1519,1.05
1520,68.823
1521,27.96
1522,-2.8656
1523,-11.928
1524,-14.148
1525,-33.0
1526,12.32
1527,-17.688
1528,39.15
1529,319.35
1530,-9.369
1531,-471.69
1532,231.24
1533,-15.696
1534,-4.8
1535,46.632
1536,55.936
1537,-1.792
1538,-56.1114
1539,68.4
1540,127.71
1541,2.64
1542,5.4432
1543,42.48
1544,3.36
1545,23.85
1546,0.4752
1547,0.5432
1548,-7.89
1549,202.32
1550,-1.11
1551,-2.472
1552,-57.7101
1553,3.3948
1554,49.8042
1555,7.16
1556,-13.3341
1557,-69.72
1558,8.619
1559,15.36
1560,0.504
1561,-39.48
1562,22.8285
1563,7.11
1564,120.48
1565,4.524
1566,224.58
1567,-6.237
1568,5.76
1569,-68.4
1570,65.31
1571,-27.384
1572,7.996
1573,1.008
1574,12.08
1575,31.5
1576,90.72
1577,4.89
1578,113.46
1579,-7.848
1580,9.3
1581,31.896
1582,38.4
1583,3.45
1584,32.925
1585,78.4396
1586,-1.386
1587,-1.8126
1588,19.9974
1589,176.812
1590,74.4
1591,228.36
1592,-34.11
1593,589.2
1594,171.3
1595,28.8
1596,18.54
1597,38.31
1598,88.2
1599,-27.45
1600,4.88
1601,44.424
1602,9.945
1603,102.057
1604,54.5832
1605,8.16
1606,14.04
1607,112.68
1608,-71.9604
1609,3.4269
1610,0.3336
1611,53.88
1612,45.3222
1613,5.92
1614,5.796
1615,-43.62
1616,198.636
1617,7.74
1618,0.9512
1619,57.5016
1620,8.505
1621,-1.9602
1622,11.7
1623,-18.4464
1624,9.63
1625,2.2
1626,-3.258
1627,-0.0255
1628,7.344
1629,-20.0664
1630,0.0
1631,28.62
1632,9.3312
1633,15.03
1634,-92.72
1635,10.05
1636,-2.187
1637,-32.864
1638,13.56
1639,-29.0073
1640,314.812
1641,1.0287
1642,21.6
1643,9.9216
1644,82.728
1645,60.84
1646,52.49
1647,2.25
1648,3.42
1649,9.18
1650,-56.16
1651,8.91
1652,2.76
1653,-0.032
1654,850.836
1655,131.82
1656,4.11
1657,3.36
1658,-16.035
1659,2.8784
1660,3.6288
1661,-348.681
1662,11.07
1663,-838.908
1664,-228.272
1665,-112.622
1666,14.7582
1667,6.02
1668,5.31
1669,-5.646
1670,-153.0
1671,328.08
1672,4.36
1673,46.68
1674,18.42
1675,10.86
1676,6.78
1677,10.56
1678,11.37
1679,18.63
1680,32.34
1681,182.52
1682,-27.576
1683,208.26
1684,2.8912
1685,147.8
1686,-6.676
1687,12.8316
1688,62.28
1689,48.78
1690,12.66
1691,1.7004
1692,-13.92
1693,-0.036
1694,150.384
1695,26.109
1696,69.84
1697,9.012
1698,133.44
1699,-36.94
1700,12.36
1701,3.24
1702,-103.32
1703,42.648
1704,3.27
1705,15.7194
1706,-6.049
1707,7.08
1708,27.45
1709,-154.476
1710,8.9604
1711,23.22
1712,-42.408
1713,-3.9702
1714,1.8
1715,28.32
1716,235.8
1717,-5.4558
1718,371.16
1719,0.5299
1720,-0.063
1721,5.1072
1722,165.34
1723,5.46
1724,7.44
1725,11.04
1726,17.158
1727,-51.2967
1728,7.32
1729,-6.08
1730,34.7916
1731,8.04
1732,19.0512
1733,7.77
1734,19.5
1735,116.952
1736,-32.874
1737,3.36
1738,0.24
1739,69.7374
1740,57.66
1741,-7.38
1742,-10.176
1743,35.76
1744,284.22
1745,1.8
1746,6.9
1747,-20.223
1748,6.72
1749,27.2
1750,13.16
1751,2.0748
1752,-1.0196
1753,16.4
1754,14.448
1755,15.12
1756,-29.9352
1757,4.168
1758,2.82
1759,79.6
1760,-271.494
1761,2.56
1762,11.2308
1763,125.73
1764,14.952
1765,-3.42
1766,-10.9188
1767,36.15
1768,7.2268
1769,33.36
1770,12.8
1771,-14.5536
1772,9.84
1773,12.4416
1774,-14.5224
1775,27.78
1776,101.383
1777,4.92
1778,-5.9157
1779,-166.393
1780,-27.72
1781,37.05
1782,42.0256
1783,23.97
1784,111.591
1785,-14.025
1786,3.45
1787,26.1465
1788,10.0485
1789,6.96
1790,123.9
1791,-0.0021
1792,-76.14
1793,-21.4236
1794,28.2
1795,-836.568
1796,-52.216
1797,13.734
1798,-1.976
1799,47.3
1800,-50.556
1801,6.54
1802,-111.622
1803,-41.04
1804,12.0252
1805,0.6
1806,10.224
1807,0.0
1808,5.94
1809,-1.14
1810,37.23
1811,-68.058
1812,242.112
1813,180.766
1814,7.362
1815,510.636
1816,-6.48
1817,9.7119
1818,33.24
1819,0.48
1820,5.52
1821,16.1505
1822,-302.72
1823,-95.6
1824,11.7
1825,-520.335
1826,11.0508
1827,-5.34
1828,-11.196
1829,-48.06
1830,16.26
1831,5.52
1832,-9.03
1833,-118.068
1834,-15.27
1835,195.285
1836,9.165
1837,119.996
1838,197.921
1839,31.68
1840,1.98
1841,-3.864
1842,111.582
1843,-5.1066
1844,-238.028
1845,53.91
1846,19.452
1847,0.834
1848,11.94
1849,16.6536
1850,46.98
1851,8.3328
1852,15.78
1853,-1002.78
1854,275.66
1855,6.16
1856,-65.52
1857,11.08
1858,9.84
1859,408.876
1860,6.6
1861,17.49
1862,112.788
1863,5.643
1864,-7.515
1865,10.5728
1866,13.338
1867,4.11
1868,5.2
1869,8.16
1870,5.49
1871,40.05
1872,-10.72
1873,8.2992
1874,15.675
1875,9.3
1876,0.72
1877,11.891
1878,43.68
1879,43.743
1880,11.7078
1881,4.5837
1882,26.25
1883,6.45
1884,-50.098
1885,46.26
1886,-98.691
1887,-51.612
1888,14.04
1889,-7.328
1890,7.196
1891,0.0
1892,11.835
1893,-13.6467
1894,25.38
1895,210.15
1896,-27.324
1897,24.24
1898,6.16
1899,35.1
1900,2.79
1901,8.88
1902,416.52
1903,11.4
1904,-23.0352
1905,-45.9954
1906,11.34
1907,16.47
1908,18.36
1909,232.68
1910,-154.044
1911,3.84
1912,-49.52
1913,2.28
1914,30.42
1915,8.8704
1916,55.9986
1917,1.8
1918,65.025
1919,5.1
1920,77.04
1921,60.12
1922,1.17
1923,0.0
1924,32.709
1925,7.92
1926,142.879
1927,-5.304
1928,67.495
1929,3.57
1930,47.04
1931,1.08
1932,-55.431
1933,-21.936
1934,35.82
1935,2.4824
1936,280.44
1937,31.95
1938,12.3
1939,17.7
1940,-85.332
1941,82.44
1942,0.0
1943,25.6
1944,12.4416
1945,-13.768
1946,5.94
1947,36.63
1948,27.84
1949,-14.424
1950,146.79
1951,-82.092
1952,884.46
1953,16.66
1954,-16.176
1955,-3.096
1956,-2.784
1957,33.8744
1958,2.1
1959,-210.108
1960,0.0
1961,118.8
1962,-45.564
1963,0.32
1964,-3.993
1965,24.196
1966,2.28
1967,-24.504
1968,72.99
1969,-23.964
1970,516.36
1971,24.96
1972,134.364
1973,3.51
1974,20.52
1975,-292.987
1976,17.9982
1977,3.84
1978,-7.2
1979,12.54
1980,-74.568
1981,-6.564
1982,13.7646
1983,238.978
1984,10.35
1985,11.1672
1986,157.14
1987,10.5
1988,8.94
1989,-7.875
1990,1.8
1991,52.3
1992,8.73
1993,14.34
1994,4.6284
1995,35.04
1996,61.68
1997,9.912
1998,30.57
1999,27.81
2000,-2.232
2001,8.073
2002,44.022
2003,-3.228
2004,112.725
2005,62.916
2006,-23.388
2007,-0.954
2008,31.4
2009,10.56
2010,12.128
2011,-31.005
2012,20.9148
2013,8.7906
2014,15.84
2015,3.1104
2016,45.5392
2017,7.28
2018,7.64
