,shirt_number,player_name,player_id,year,height_cm,weight_kg,position,shooting_hand,retired,experience_total,experience_at_year,birthplace,birthdate
41,3,Trent Forrest,f/forretr01,2021,193,95,"['Shooting Guard', 'Point Guard']",Right,False,4,0,United States,1998-06-12
42,27,Rudy Gobert,g/goberru01,2021,216,117,['Center'],Right,False,11,7,France,1992-06-26
43,8,Shaquille Harrison,h/harrish01,2021,193,86,"['Shooting Guard', 'Point Guard']",Left,False,7,3,United States,1993-10-06
44,33,Elijah Hughes,h/hugheel01,2021,196,97,"['Shooting Guard', 'Small Forward']",Right,False,2,-2,United States,1998-03-10
45,77,Ersan İlyasova,i/ilyaser01,2021,206,106,['Power Forward'],Right,True,13,13,Turkey,1987-05-15
46,2,Joe Ingles,i/inglejo01,2021,203,99,"['Small Forward', 'Power Forward']",Left,False,10,6,Australia,1987-10-02
47,45,Donovan Mitchell,m/mitchdo01,2021,190,97,"['Shooting Guard', 'Point Guard']",Right,False,7,3,United States,1996-09-07
48,16,Juwan Morgan,m/morgaju01,2021,201,105,['Power Forward'],Right,False,3,-1,United States,1997-04-17
49,31,Georges Niang,n/niangge01,2021,201,104,['Power Forward'],Right,False,8,4,United States,1993-06-17
50,23,Royce O'Neale,o/onealro01,2021,193,102,['Small Forward'],Right,False,7,3,United States,1993-06-05
51,81,Miye Oni,o/onimi01,2021,196,93,"['Shooting Guard', 'Small Forward']",Right,False,3,-1,United States,1997-08-04
52,21,Matt Thomas,t/thomama02,2021,193,86,['Shooting Guard'],Right,True,3,3,United States,1994-08-04
53,0,Ty-Shon Alexander,a/alexaty01,2021,190,88,['Shooting Guard'],Right,False,1,-3,United States,1998-07-16
54,22,Deandre Ayton,a/aytonde01,2021,213,113,['Center'],Right,False,6,2,Bahamas,1998-07-23
55,1,Devin Booker,b/bookede01,2021,198,93,"['Shooting Guard', 'Point Guard']",Right,False,9,5,United States,1996-10-30
56,25,Mikal Bridges,b/bridgmi01,2021,198,94,"['Small Forward', 'Shooting Guard']",Right,False,6,2,United States,1996-08-30
57,4,Jevon Carter,c/carteje01,2021,185,90,['Point Guard'],Right,False,6,2,United States,1995-09-14
58,12,Torrey Craig,c/craigto01,2021,201,100,"['Small Forward', 'Power Forward']",Right,False,7,3,United States,1990-12-19
59,99,Jae Crowder,c/crowdja01,2021,198,106,"['Small Forward', 'Power Forward']",Right,False,12,8,United States,1990-07-06
60,2,Langston Galloway,g/gallola01,2021,185,90,"['Shooting Guard', 'Point Guard']",Right,False,8,4,United States,1991-12-09
61,23,Cameron Johnson,j/johnsca02,2021,203,95,['Power Forward'],Right,False,5,1,United States,1996-03-03
62,30,Damian Jones,j/jonesda03,2021,211,111,['Center'],Right,False,8,4,United States,1995-06-30
63,8,Frank Kaminsky,k/kaminfr01,2021,213,108,"['Center', 'Power Forward']",Right,False,8,4,United States,1993-04-04
64,55,E'Twaun Moore,m/mooreet01,2021,190,86,"['Shooting Guard', 'Point Guard']",Right,True,10,10,United States,1989-02-25
65,11,Abdel Nader,n/naderab01,2021,196,102,['Small Forward'],Right,True,5,5,Egypt,1993-09-25
66,3,Chris Paul,p/paulch01,2021,183,79,['Point Guard'],Right,False,19,15,United States,1985-05-06
67,15,Cameron Payne,p/payneca01,2021,190,83,"['Point Guard', 'Shooting Guard']",Left,False,9,5,United States,1994-08-08
68,20,Dario Šarić,s/saricda01,2021,208,102,"['Power Forward', 'Center']",Right,False,7,3,Croatia,1994-04-08
69,10,Jalen Smith,s/smithja04,2021,208,97,"['Center', 'Power Forward']",Right,False,4,0,United States,2000-03-16
